food_name,diet_type,culture,meal_type,calories,protein,carbs,fat,medical_suitability,cost_per_100g,carbon_score,recommended_for,avoid_for,category,recipe
Vegan Thai Curry Special,Vegan,Indian,Dinner,367,13,46,13,obesity,42,1.1,Weight Management,"High Calorie, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Bhindi Masala Spicy,Vegetarian,Asian,Lunch,275,4,25,17,diabetes,32,2.7,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Kachori Mild,Vegetarian,Indian,Snack,235,4,24,13,hypertension,46,2.2,Low Sodium,"High Sodium, Processed",Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Korma Spicy,Non-Vegetarian,Asian,Dinner,522,30,22,23,thyroid,87,4.8,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Idli Sambar,Vegetarian,Western,Snack,338,14,41,4,thyroid,35,2.6,Balanced Iodine,Goitrogenic Foods,Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chole Bhature,Vegetarian,Western,Lunch,627,15,60,19,heart,43,2.7,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Samosa Special,Vegetarian,Indian,Snack,176,3,24,11,ibs,34,2.7,Low FODMAP,High FODMAP,Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Curry,Vegan,Indian,Lunch,451,19,32,15,"heart,thyroid",32,1.6,"Balanced Iodine, Heart Healthy","High Saturated Fat, Sodium, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Keema Matar Mild,Non-Vegetarian,Mediterranean,Breakfast,375,29,19,21,pcos,37,4,Anti-inflammatory,"High Sugar, Processed Foods",Breakfast,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chana Masala Dry,Vegetarian,Asian,Dinner,325,15,51,7,ibs,42,2.6,Low FODMAP,High FODMAP,Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Spring Roll Spicy,Vegetarian,Asian,Lunch,226,6,35,6,"hypertension,obesity",35,1.5,"Low Sodium, Weight Management","High Calorie, Processed, High Sodium, Processed",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Cookies Deluxe,Vegan,Mediterranean,Breakfast,202,4,35,5,pcos,41,1.9,Anti-inflammatory,"High Sugar, Processed Foods",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Spring Roll Deluxe,Vegetarian,Indian,Dinner,239,6,37,6,"hypertension,thyroid",43,2.3,"Low Sodium, Balanced Iodine","High Sodium, Processed, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Bhindi Masala Special,Vegetarian,Asian,Lunch,303,4,23,15,thyroid,38,1.7,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Non-Vegetarian Thali,Non-Vegetarian,Indian,Dinner,508,25,59,21,diabetes,50,2.4,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare Non-Vegetarian Thali 247 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Curry Dry,Non-Vegetarian,Mediterranean,Dinner,298,25,17,23,thyroid,35,3.5,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Bacon and Eggs Dry,Non-Vegetarian,Indian,Dinner,443,32,13,32,"general,ibs",34,4.5,"Low FODMAP, General Health","Excessive Processing, High FODMAP",Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Upma Deluxe,Vegetarian,Asian,Breakfast,257,10,58,7,"general,diabetes",34,2.1,"Low GI, High Fiber, General Health","Excessive Processing, High Sugar, Refined Carbs",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Spring Roll with Gravy,Vegetarian,Mediterranean,Breakfast,166,5,31,5,hypertension,33,1.5,Low Sodium,"High Sodium, Processed",Breakfast,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Keema Matar Dry,Non-Vegetarian,Indian,Dinner,375,33,23,23,general,38,3.8,General Health,Excessive Processing,Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetable Cutlet,Vegetarian,Mediterranean,Lunch,198,5,29,8,diabetes,45,2.8,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Aloo Tikki,Vegetarian,Mediterranean,Dinner,222,3,36,9,general,45,2.8,General Health,Excessive Processing,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Aloo Tikki Mild,Vegetarian,Indian,Lunch,234,3,34,6,"heart,diabetes",34,1.9,"Low GI, High Fiber, Heart Healthy","High Saturated Fat, Sodium, High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Mutton Rogan Josh Special,Non-Vegetarian,Indian,Snack,492,31,15,29,general,78,3.3,General Health,Excessive Processing,Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Grilled Chicken,Non-Vegetarian,Western,Lunch,303,41,7,17,obesity,72,4.3,Weight Management,"High Calorie, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Biryani,Non-Vegetarian,Indian,Dinner,493,32,56,13,pcos,86,4.1,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Bhindi Masala Deluxe,Vegetarian,Western,Lunch,265,5,19,14,"thyroid,obesity",34,2.5,"Balanced Iodine, Weight Management","High Calorie, Processed, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Spring Roll Special,Vegetarian,Western,Dinner,177,4,32,6,obesity,34,1.6,Weight Management,"High Calorie, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetable Sandwich with Gravy,Vegetarian,Western,Snack,275,12,48,6,hypertension,42,2.8,Low Sodium,"High Sodium, Processed",Snack,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Nuggets with Gravy,Non-Vegetarian,Asian,Snack,365,23,26,15,general,91,3.1,General Health,Excessive Processing,Snack,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Energy Bar Dry,Vegan,Asian,Lunch,242,8,36,6,thyroid,40,1.2,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Upma Mild,Vegetarian,Asian,Breakfast,315,9,63,6,general,38,2.3,General Health,Excessive Processing,Breakfast,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vada Pav,Vegetarian,Mediterranean,Snack,289,7,35,9,ibs,42,1.8,Low FODMAP,High FODMAP,Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chilla (Besan Pancake) with Gravy,Vegetarian,Western,Breakfast,267,13,38,14,"diabetes,thyroid",33,2.3,"Balanced Iodine, Low GI, High Fiber","High Sugar, Refined Carbs, Goitrogenic Foods",Breakfast,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Aloo Tikki Spicy,Vegetarian,Asian,Snack,251,3,32,9,"hypertension,heart",33,2.9,"Low Sodium, Heart Healthy","High Saturated Fat, Sodium, High Sodium, Processed",Snack,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Nuggets,Non-Vegetarian,Asian,Snack,283,17,17,14,pcos,95,4.4,Anti-inflammatory,"High Sugar, Processed Foods",Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Palak Paneer Dry,Vegetarian,Asian,Breakfast,351,17,20,24,"diabetes,ibs",55,1.9,"Low GI, High Fiber, Low FODMAP","High Sugar, Refined Carbs, High FODMAP",Breakfast,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Bhindi Masala Mild,Vegetarian,Indian,Snack,276,5,21,16,"ibs,hypertension",33,2.3,"Low Sodium, Low FODMAP","High Sodium, Processed, High FODMAP",Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Roasted Chickpeas,Vegan,Indian,Breakfast,182,10,25,3,"general,obesity",37,1.8,"General Health, Weight Management","High Calorie, Processed, Excessive Processing",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Nuggets Mild,Non-Vegetarian,Indian,Dinner,324,18,26,15,diabetes,90,3.6,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Spring Roll Deluxe,Vegetarian,Mediterranean,Lunch,230,4,35,5,pcos,47,2,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Dal Makhani Spicy,Vegetarian,Indian,Dinner,316,18,45,14,diabetes,45,1.7,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Pancakes with Gravy,Vegan,Western,Breakfast,358,8,49,8,diabetes,39,1.4,"Low GI, High Fiber","High Sugar, Refined Carbs",Breakfast,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Sandwich Mild,Non-Vegetarian,Asian,Lunch,320,31,42,11,"hypertension,ibs",70,3.9,"Low Sodium, Low FODMAP","High Sodium, Processed, High FODMAP",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Non-Vegetarian Thali,Non-Vegetarian,Indian,Lunch,517,26,58,19,"diabetes,pcos",48,2.6,"Anti-inflammatory, Low GI, High Fiber","High Sugar, Processed Foods, High Sugar, Refined Carbs",Main Meal,"Prepare Non-Vegetarian Thali 161 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Smoothie Spicy,Vegan,Mediterranean,Dinner,174,5,30,3,ibs,44,1.9,Low FODMAP,High FODMAP,Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Sausages,Non-Vegetarian,Western,Snack,350,20,9,27,"pcos,general",92,5,"Anti-inflammatory, General Health","Excessive Processing, High Sugar, Processed Foods",Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Curry Special,Vegan,Mediterranean,Lunch,372,18,31,19,general,46,1.1,General Health,Excessive Processing,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Energy Bar,Vegan,Indian,Dinner,219,9,29,4,"diabetes,heart",41,1.5,"Low GI, High Fiber, Heart Healthy","High Saturated Fat, Sodium, High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Stuffed Paratha,Vegetarian,Western,Breakfast,421,12,46,12,general,40,3,General Health,Excessive Processing,Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Wings Spicy,Non-Vegetarian,Asian,Snack,345,20,8,26,ibs,85,4.2,Low FODMAP,High FODMAP,Snack,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fruit Salad with Gravy,Vegan,Asian,Breakfast,156,1,43,0,heart,46,1,Heart Healthy,"High Saturated Fat, Sodium",Breakfast,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Curry Mild,Non-Vegetarian,Indian,Snack,357,25,20,19,obesity,42,4.1,Weight Management,"High Calorie, Processed",Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Butter Chicken Deluxe,Non-Vegetarian,Asian,Lunch,475,36,21,31,"general,thyroid",92,3,"Balanced Iodine, General Health","Excessive Processing, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Malai Kofta Dry,Vegetarian,Western,Lunch,567,16,33,31,diabetes,44,2.5,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Trail Mix Mild,Vegan,Mediterranean,Dinner,279,8,29,18,"heart,thyroid",40,1.8,"Balanced Iodine, Heart Healthy","High Saturated Fat, Sodium, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Biryani with Gravy,Vegan,Western,Dinner,448,13,61,7,"ibs,heart",39,1.4,"Low FODMAP, Heart Healthy","High Saturated Fat, Sodium, High FODMAP",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Scramble Mild,Vegan,Indian,Snack,321,21,22,18,ibs,36,1.4,Low FODMAP,High FODMAP,Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Keema Matar,Non-Vegetarian,Indian,Lunch,473,27,21,19,"thyroid,obesity",36,3,"Balanced Iodine, Weight Management","High Calorie, Processed, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Grilled Chicken,Non-Vegetarian,Western,Dinner,303,38,8,16,"ibs,heart",85,4.7,"Low FODMAP, Heart Healthy","High Saturated Fat, Sodium, High FODMAP",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Roasted Chickpeas Mild,Vegan,Mediterranean,Snack,161,10,24,3,"thyroid,diabetes",34,1.6,"Balanced Iodine, Low GI, High Fiber","High Sugar, Refined Carbs, Goitrogenic Foods",Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Samosa Deluxe,Vegetarian,Asian,Snack,230,3,33,8,"general,pcos",32,2.1,"Anti-inflammatory, General Health","Excessive Processing, High Sugar, Processed Foods",Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Mushroom Stroganoff with Gravy,Vegan,Mediterranean,Lunch,399,12,50,14,pcos,46,1.7,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Kachori,Vegetarian,Indian,Dinner,280,5,34,11,"pcos,thyroid",36,2.8,"Anti-inflammatory, Balanced Iodine","High Sugar, Processed Foods, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Cookies Deluxe,Vegan,Asian,Dinner,160,4,38,6,hypertension,33,1.8,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Stuffed Paratha with Gravy,Vegetarian,Asian,Breakfast,321,12,66,11,heart,33,2.7,Heart Healthy,"High Saturated Fat, Sodium",Breakfast,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Curry Special,Non-Vegetarian,Indian,Lunch,397,21,19,26,heart,40,3.9,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Tikka,Non-Vegetarian,Indian,Lunch,390,34,9,15,"diabetes,pcos",69,3,"Anti-inflammatory, Low GI, High Fiber","High Sugar, Processed Foods, High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Nuggets Mild,Non-Vegetarian,Western,Snack,346,22,23,14,pcos,70,3.4,Anti-inflammatory,"High Sugar, Processed Foods",Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Spring Roll Special,Vegetarian,Indian,Lunch,191,5,31,6,heart,45,2.5,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tandoori Chicken with Gravy,Non-Vegetarian,Asian,Dinner,341,42,7,19,"pcos,general",75,4.5,"Anti-inflammatory, General Health","Excessive Processing, High Sugar, Processed Foods",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Stuffed Paratha Mild,Vegetarian,Mediterranean,Breakfast,402,11,62,14,general,37,2.1,General Health,Excessive Processing,Breakfast,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Oatmeal with Gravy,Vegan,Asian,Dinner,261,12,57,6,heart,37,1.4,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Bhindi Masala Special,Vegetarian,Asian,Lunch,286,5,17,12,heart,36,2.8,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Energy Bar Deluxe,Vegan,Mediterranean,Snack,177,7,31,5,general,40,1.1,General Health,Excessive Processing,Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Curry Spicy,Non-Vegetarian,Indian,Snack,294,25,20,24,ibs,43,4.8,Low FODMAP,High FODMAP,Snack,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fruit Smoothie Bowl with Gravy,Vegan,Western,Breakfast,322,8,49,7,"thyroid,ibs",32,1.5,"Balanced Iodine, Low FODMAP","High FODMAP, Goitrogenic Foods",Breakfast,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Mushroom Stroganoff Mild,Vegan,Mediterranean,Dinner,306,12,36,11,general,40,1.4,General Health,Excessive Processing,Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Mutton Rogan Josh Special,Non-Vegetarian,Indian,Lunch,577,35,14,31,"pcos,hypertension",76,3.1,"Anti-inflammatory, Low Sodium","High Sugar, Processed Foods, High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Tikka Deluxe,Non-Vegetarian,Asian,Dinner,387,37,9,18,"ibs,hypertension",88,5,"Low Sodium, Low FODMAP","High Sodium, Processed, High FODMAP",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Lentil Soup Spicy,Vegan,Asian,Lunch,261,18,39,6,hypertension,35,1.3,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Roll,Non-Vegetarian,Asian,Breakfast,321,15,36,12,"pcos,hypertension",38,3.2,"Anti-inflammatory, Low Sodium","High Sugar, Processed Foods, High Sodium, Processed",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Tikka Spicy,Non-Vegetarian,Indian,Lunch,303,29,9,14,diabetes,61,4.4,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Bacon and Eggs with Gravy,Non-Vegetarian,Mediterranean,Snack,447,26,10,29,pcos,38,3.7,Anti-inflammatory,"High Sugar, Processed Foods",Snack,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Keema Matar,Non-Vegetarian,Western,Snack,444,23,25,28,diabetes,34,3.6,"Low GI, High Fiber","High Sugar, Refined Carbs",Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Nuggets Special,Non-Vegetarian,Asian,Breakfast,292,19,24,17,obesity,68,3.5,Weight Management,"High Calorie, Processed",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Tikka Masala Deluxe,Non-Vegetarian,Western,Dinner,461,33,17,24,obesity,87,3.2,Weight Management,"High Calorie, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Malai Kofta Mild,Vegetarian,Indian,Breakfast,392,15,37,36,"general,obesity",40,2.1,"General Health, Weight Management","High Calorie, Processed, Excessive Processing",Breakfast,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Stuffed Paratha Mild,Vegetarian,Indian,Lunch,441,11,47,10,general,33,2.9,General Health,Excessive Processing,Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Roll,Non-Vegetarian,Asian,Dinner,234,13,34,14,"diabetes,obesity",47,4.9,"Low GI, High Fiber, Weight Management","High Calorie, Processed, High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fruit Salad Mild,Vegan,Asian,Breakfast,158,1,44,0,"heart,pcos",33,1.1,"Anti-inflammatory, Heart Healthy","High Sugar, Processed Foods, High Saturated Fat, Sodium",Breakfast,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fruit Smoothie Bowl,Vegan,Western,Dinner,226,8,53,6,"ibs,heart",41,1.4,"Low FODMAP, Heart Healthy","High Saturated Fat, Sodium, High FODMAP",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Stir Fry Mild,Vegan,Mediterranean,Dinner,284,20,31,15,"thyroid,diabetes",38,1.6,"Balanced Iodine, Low GI, High Fiber","High Sugar, Refined Carbs, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Fingers Spicy,Non-Vegetarian,Western,Breakfast,292,17,26,11,hypertension,63,3.8,Low Sodium,"High Sodium, Processed",Breakfast,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Samosa with Gravy,Vegetarian,Asian,Snack,257,4,29,8,hypertension,37,1.6,Low Sodium,"High Sodium, Processed",Snack,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Non-Vegetarian Thali,Non-Vegetarian,Indian,Dinner,488,28,58,21,diabetes,59,2,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare Non-Vegetarian Thali 444 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vada Pav Deluxe,Vegetarian,Indian,Dinner,246,8,50,8,"obesity,general",43,2.4,"General Health, Weight Management","High Calorie, Processed, Excessive Processing",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Rajma,Vegetarian,Indian,Breakfast,401,17,55,8,"general,hypertension",33,2.7,"Low Sodium, General Health","Excessive Processing, High Sodium, Processed",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Aloo Tikki with Gravy,Vegetarian,Indian,Lunch,225,3,31,8,heart,44,1.6,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Omelette,Non-Vegetarian,Indian,Breakfast,330,20,6,20,thyroid,38,3.3,Balanced Iodine,Goitrogenic Foods,Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Baingan Bharta,Vegetarian,Asian,Breakfast,286,9,31,18,thyroid,37,2.4,Balanced Iodine,Goitrogenic Foods,Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Scramble Dry,Vegan,Indian,Breakfast,310,14,23,14,"thyroid,pcos",43,1.7,"Balanced Iodine, Anti-inflammatory","High Sugar, Processed Foods, Goitrogenic Foods",Breakfast,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Non-Vegetarian Thali,Non-Vegetarian,Indian,Lunch,476,30,60,21,diabetes,55,3.3,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare Non-Vegetarian Thali 158 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Butter Chicken Dry,Non-Vegetarian,Mediterranean,Dinner,396,27,18,28,"heart,pcos",60,3.9,"Anti-inflammatory, Heart Healthy","High Sugar, Processed Foods, High Saturated Fat, Sodium",Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Thai Curry Mild,Vegan,Mediterranean,Dinner,357,13,39,18,"diabetes,obesity",40,1.3,"Low GI, High Fiber, Weight Management","High Calorie, Processed, High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetable Poha Deluxe,Vegetarian,Asian,Breakfast,310,7,42,4,hypertension,32,2,Low Sodium,"High Sodium, Processed",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chilla (Besan Pancake) Special,Vegetarian,Western,Breakfast,270,15,39,10,diabetes,36,3,"Low GI, High Fiber","High Sugar, Refined Carbs",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
